headword,pos,gloss_pl
abandon,verb,porzucić
abandoned,adjective,opuszczony
ability,noun,zdolność
able,adjective,zdolny
about,adverb,około
about,preposition,o
above,preposition,nad
abroad,adverb,za granicą
accept,verb,akceptować
accident,noun,wypadek
accommodation,noun,zakwaterowanie
achieve,verb,osiągać
across,adverb,przez
across,preposition,przez
act,noun,akt
actually,adverb,faktycznie
addition,noun,dodatek
additional,adjective,dodatkowy
address,noun,adres
address,verb,zwracać się
adult,noun,dorosły
advance,noun,postęp
advance,verb,posuwać się naprzód
advantage,noun,przewaga
adventure,noun,przygoda
